feature,importance
HPC_Outlet_Static_Press_Scaled,0.15631211
LPT_Outlet_Temp_Scaled_mean,0.11936149
HPC_Outlet_Press_Scaled,0.042292744
Corrected_Fan_Speed_Scaled,0.08754097
HPT_Cool_Air_F_Scaled_mean,0.050076883
HPC_Outlet_Temp_Scaled_mean,0.045361884
LPC_Outlet_Temp_Scaled_mean,0.054796267
Bleed_Enthalpy_Scaled_mean,0.104018256
Bypass_Duct_Scaled_std,0.07711303
HPC_Outlet_Press_Scaled_var,0.03589515
Fan_Inlet_Temp_Scaled_mean,0.0253486
Fan_Inlet_Press_Scaled_mean,0.051370595
Engine_Press_Ratio_Scaled_mean,0.029510682
Corrected_Core_Speed_Scaled_var,0.025448816
Engine_Press_Ratio_Scaled,0.037699636
Physical_Fan_Speed_Scaled_var,0.02814727
LPT_Cool_Air_F_Scaled_std,0.029705623
