feature,importance
TS4_min,0.12075042
TS3_rms,0.09412624
TS4_max,0.08421362
TS2_max,0.07842095
FS1_rms,0.059507176
FS1_std,0.042799827
TS4_mean,0.04101464
TS3_mean,0.03804073
TS2_rms,0.032285444
SE_std,0.032020476
TS4_rms,0.029419502
FS1_skew,0.028497072
PS6_mean,0.026677558
PS2_skew,0.025749924
PS2_kurt,0.021462774
SE_skew,0.017283263
PS1_std,0.013032172
SE_kurt,0.011888183
PS3_skew,0.011022406
TS1_rms,0.01025641
FS2_max,0.009177618
FS1_ptp,0.008727742
PS3_mean,0.008327625
PS2_std,0.007100118
PS2_mean,0.0067633493
PS3_std,0.006085746
TS1_mean,0.0057701347
CP_rms,0.0055359765
TS1_max,0.0051798155
PS2_trend,0.0048551126
PS3_kurt,0.0047824555
CP_mean,0.004691601
TS2_mean,0.0042911367
FS1_max,0.0040792683
EPS1_max,0.0037780467
PS4_mean,0.0036633625
PS5_mean,0.0032382214
SE_rms,0.003158672
PS2_rms,0.0031529928
SE_max,0.003047513
FS2_mean,0.0028281275
TS3_max,0.0027809497
SE_mean,0.002722595
TS1_kurt,0.0023502994
SE_ptp,0.0022493538
PS3_rms,0.0022451563
PS6_max,0.0022349383
SE_trend,0.0020340683
PS4_max,0.0019756854
VS1_mean,0.0018853433
PS1_kurt,0.0018613788
EPS1_kurt,0.001788803
TS3_min,0.0017427324
PS1_skew,0.0016766879
CE_mean,0.001612698
PS5_rms,0.0015770486
PS2_max,0.0014891819
PS1_mean,0.0013252149
PS6_std,0.0012731085
FS2_rms,0.0012225126
FS1_trend,0.0011954493
VS1_std,0.001139874
TS1_skew,0.0011205005
EPS1_std,0.0010139457
TS2_trend,0.0010121473
EPS1_rms,0.0010080932
TS3_trend,0.0009949869
FS1_mean,0.0009902256
PS1_rms,0.0009788243
FS2_min,0.0009564707
FS1_kurt,0.00090375106
EPS1_ptp,0.0009025575
TS2_min,0.0008643793
VS1_rms,0.00085405284
EPS1_mean,0.00080087205
TS1_min,0.00078983745
TS1_trend,0.00075980066
PS5_std,0.0007190541
PS1_trend,0.0006772191
PS5_max,0.00060990255
PS1_min,0.00060654397
TS2_kurt,0.0005805091
PS2_ptp,0.0005634851
PS3_trend,0.00055179984
TS4_ptp,0.0005423335
TS2_std,0.0005279298
PS4_min,0.00052601367
PS3_max,0.0005182304
TS3_skew,0.00049998926
FS2_std,0.00049868866
TS1_std,0.00048304658
PS5_min,0.00045220304
VS1_min,0.00044374302
CE_max,0.00043835604
TS2_ptp,0.00043017854
PS1_ptp,0.00042649356
CP_kurt,0.00041133686
TS4_kurt,0.00041107312
TS2_skew,0.00039566308
TS3_std,0.00038498774
PS1_max,0.0003700462
TS1_ptp,0.00036641356
PS5_trend,0.00036258344
FS2_ptp,0.0003535144
PS4_skew,0.00033347326
PS6_min,0.00033035947
PS6_trend,0.0003295358
TS3_ptp,0.00032623752
PS3_ptp,0.0003220829
TS3_kurt,0.0003167947
PS4_ptp,0.00028986324
PS4_trend,0.0002889848
PS5_ptp,0.00027207768
TS4_std,0.0002691095
CE_trend,0.0002494338
PS6_skew,0.00024792866
EPS1_min,0.0002334382
CE_min,0.00022776154
CP_min,0.00021633363
EPS1_skew,0.00019942907
VS1_kurt,0.00019151566
CP_std,0.00018578525
PS5_skew,0.00018353565
TS4_trend,0.00018007994
PS4_std,0.0001788385
CP_ptp,0.00016921332
CE_skew,0.00016909954
EPS1_trend,0.00016292228
VS1_max,0.00015924769
VS1_ptp,0.00015864079
VS1_skew,0.00014843012
FS2_trend,0.00013461601
CP_max,0.00012995832
FS2_skew,0.0001253065
PS6_rms,0.00011563258
TS4_skew,9.55147e-05
PS6_kurt,9.4497234e-05
PS6_ptp,9.392255e-05
VS1_trend,9.262292e-05
PS5_kurt,9.224192e-05
CE_std,8.406055e-05
CP_skew,7.9653575e-05
CE_rms,6.9475514e-05
CP_trend,5.5005177e-05
CE_kurt,5.3332147e-05
PS4_kurt,4.4126227e-05
FS2_kurt,3.935002e-05
CE_ptp,3.6945992e-05
PS4_rms,3.523666e-05
PS2_min,0.0
SE_min,0.0
PS3_min,0.0
FS1_min,0.0
