feature,importance
sensor_22_roll_mean,0.15840556
sensor_23_roll_mean,0.08172
sensor_32_roll_mean,0.075548545
sensor_29_roll_mean,0.07102113
sensor_29,0.07040001
sensor_30_roll_mean,0.06982516
sensor_25_roll_mean,0.058477424
sensor_03_roll_mean,0.041484077
sensor_00,0.037430163
sensor_00_roll_mean,0.035111893
sensor_02,0.027953673
sensor_26_roll_mean,0.026107408
sensor_34,0.024159081
sensor_26,0.023072157
sensor_14_roll_mean,0.02217107
sensor_28_roll_mean,0.021647044
sensor_34_roll_mean,0.021627499
sensor_33_roll_mean,0.01826982
sensor_35_roll_mean,0.015197696
sensor_07_roll_mean,0.013565605
sensor_36_roll_mean,0.012441753
sensor_13_roll_mean,0.011650999
sensor_02_roll_mean,0.010465878
sensor_06_roll_mean,0.010260103
sensor_36,0.008767425
sensor_28,0.007891285
sensor_01_roll_mean,0.0076743155
sensor_13,0.0052136313
sensor_01,0.0043343566
sensor_03,0.0023589665
sensor_42_roll_mean,0.0018658035
sensor_49_roll_mean,0.0016846717
sensor_42,0.0012186929
sensor_49,0.0006597453
sensor_45,0.00031739305
